id,branch,train_mask,test_mask
0,ECE,True,False
1,ECE,True,False
2,CSE,True,False
3,EEE,True,False
4,,False,True
5,EEE,True,False
6,EEE,True,False
7,ECE,True,False
8,EEE,True,False
9,ECE,True,False
10,EEE,True,False
11,EEE,True,False
12,EEE,True,False
13,EEE,True,False
14,EEE,True,False
15,CSE,True,False
16,ECE,True,False
17,EEE,True,False
18,ECE,True,False
19,EEE,True,False
20,EEE,True,False
21,ECE,True,False
22,,False,True
23,EEE,True,False
24,EEE,True,False
25,ECE,True,False
26,EEE,True,False
27,EEE,True,False
28,EEE,True,False
29,,False,True
30,ECE,True,False
31,ECE,True,False
32,,False,True
33,ECE,True,False
34,,False,True
35,CSE,True,False
36,ECE,True,False
37,ECE,True,False
38,CSE,True,False
39,EEE,True,False
40,CSE,True,False
41,ECE,True,False
42,CSE,True,False
43,ECE,True,False
44,ECE,True,False
45,ECE,True,False
46,ECE,True,False
47,CSE,True,False
48,CSE,True,False
49,CSE,True,False
50,CSE,True,False
51,CSE,True,False
52,CSE,True,False
53,CSE,True,False
54,CSE,True,False
55,,False,True
56,CSE,True,False
57,CSE,True,False
58,CSE,True,False
59,CSE,True,False
60,EEE,True,False
61,EEE,True,False
62,ECE,True,False
63,EEE,True,False
64,ECE,True,False
65,,False,True
66,,False,True
67,ECE,True,False
68,CSE,True,False
69,ECE,True,False
70,CSE,True,False
71,EEE,True,False
72,CSE,True,False
73,EEE,True,False
74,ECE,True,False
75,EEE,True,False
76,,False,True
77,CSE,True,False
78,CSE,True,False
79,CSE,True,False
80,CSE,True,False
81,CSE,True,False
82,ECE,True,False
83,EEE,True,False
84,ECE,True,False
85,EEE,True,False
86,ECE,True,False
87,EEE,True,False
88,ECE,True,False
89,ECE,True,False
90,CSE,True,False
91,EEE,True,False
92,ECE,True,False
93,EEE,True,False
94,CSE,True,False
95,CSE,True,False
96,,False,True
97,EEE,True,False
98,ECE,True,False
99,ECE,True,False
100,ECE,True,False
101,CSE,True,False
102,EEE,True,False
103,EEE,True,False
104,EEE,True,False
105,ECE,True,False
106,CSE,True,False
107,EEE,True,False
108,,False,True
109,EEE,True,False
110,CSE,True,False
111,,False,True
112,ECE,True,False
113,ECE,True,False
114,ECE,True,False
115,CSE,True,False
116,EEE,True,False
117,EEE,True,False
118,,False,True
119,ECE,True,False
120,ECE,True,False
121,CSE,True,False
122,EEE,True,False
123,CSE,True,False
124,EEE,True,False
125,EEE,True,False
126,CSE,True,False
127,CSE,True,False
128,EEE,True,False
129,EEE,True,False
130,CSE,True,False
131,EEE,True,False
132,CSE,True,False
133,CSE,True,False
134,ECE,True,False
135,EEE,True,False
136,CSE,True,False
137,EEE,True,False
138,ECE,True,False
139,CSE,True,False
140,ECE,True,False
141,CSE,True,False
142,CSE,True,False
143,EEE,True,False
144,EEE,True,False
145,EEE,True,False
146,EEE,True,False
147,,False,True
148,EEE,True,False
149,EEE,True,False
150,ECE,True,False
151,CSE,True,False
152,EEE,True,False
153,CSE,True,False
154,ECE,True,False
155,CSE,True,False
156,EEE,True,False
157,,False,True
158,ECE,True,False
159,ECE,True,False
160,ECE,True,False
161,ECE,True,False
162,EEE,True,False
163,EEE,True,False
164,ECE,True,False
165,,False,True
166,,False,True
167,EEE,True,False
168,ECE,True,False
169,CSE,True,False
170,ECE,True,False
171,ECE,True,False
172,ECE,True,False
173,CSE,True,False
174,CSE,True,False
175,,False,True
176,,False,True
177,EEE,True,False
178,ECE,True,False
179,EEE,True,False
180,ECE,True,False
181,EEE,True,False
182,ECE,True,False
183,ECE,True,False
184,ECE,True,False
185,ECE,True,False
186,EEE,True,False
187,EEE,True,False
188,,False,True
189,EEE,True,False
190,EEE,True,False
191,ECE,True,False
192,EEE,True,False
193,ECE,True,False
194,CSE,True,False
195,EEE,True,False
196,,False,True
197,ECE,True,False
198,EEE,True,False
199,,False,True
200,EEE,True,False
201,EEE,True,False
202,,False,True
203,ECE,True,False
204,ECE,True,False
205,EEE,True,False
206,CSE,True,False
207,CSE,True,False
208,EEE,True,False
209,EEE,True,False
210,EEE,True,False
211,EEE,True,False
212,ECE,True,False
213,EEE,True,False
214,ECE,True,False
215,ECE,True,False
216,ECE,True,False
217,ECE,True,False
218,EEE,True,False
219,ECE,True,False
220,EEE,True,False
221,ECE,True,False
222,ECE,True,False
